"transaction_id","bank_id","customer_id","amount"
"777ca244-da64-468f-9af5-11ab6b9a5889",96,726,-4065.19
"952bf098-d065-4187-bb39-db85bf0a2671",92,160,5749.68
"19902712-17f0-45be-809e-5c4c1b5d98ca",73,1170,1940.85
"ff789b27-105a-4a67-93ed-1636557af4ca",66,1155,-2591.82
"c0a78bfa-9845-4bbe-9941-ae458929fc57",77,66,-5649.42
"b64fc8db-42fb-48db-b731-ac1db215b284",91,174,3459.5
"e013676b-daa4-43e4-9e57-1276d34827de",65,554,-4526.42
"35231de6-5d1b-4e67-8ed1-bcc408c68584",90,1202,5524.01
"bfd1ce23-c01a-4be4-826b-815c71e6fd03",73,868,-9318.19
"4a726572-4701-4430-b0b2-0e0b447cb712",100,113,3217.97
"cbb06c6c-3ace-416d-9ca6-85d1c8d69c7c",108,411,-4081.61
"6f87f470-a5a5-4acc-b27c-004b22f53a3d",38,653,1920.09
"3006df79-45de-416e-85ad-36274a9439d6",61,909,-7777.48
"fec7f0bd-ea12-4aae-b685-87997e6c9bbc",47,335,-1043.38
"43039865-6a56-46d3-8fb9-1cdc382d6cab",63,231,-67.87
"c94ed8b5-d9df-4d36-a10e-edbaf18e4ab2",28,184,4070.25
"d608e620-53f2-4787-b799-8b225a7d1546",103,888,-4660.16
"3ed9c10c-949f-4e9a-972a-a0c33744a22a",112,157,-3877.82
"871b4662-639b-4af2-831e-edb96a7b587f",74,230,-9706.55
"12d9c2ef-d1ed-443e-9ed3-358eb4ed80d1",98,802,921.92
"9185bc10-7ee9-4fbf-be71-cd6eec875df7",68,618,-3134.86
"78f89976-d9d9-434a-bb6e-ff974be9be99",11,1043,-870.81
"f35f7b4e-303a-47c5-afb7-c8beea3d8bc3",69,689,3495.47
"d4a3d073-e638-4f8f-a8ba-89b7906f423e",84,776,5341.29
"807e6424-e747-41c3-a74c-dfaab694d140",34,295,-8402.69
"91c5d8c3-88fc-4484-8f3c-6ef1400abc77",31,929,-5704.36
"0d97ca33-0a21-4ec7-ad53-1e412dd56974",61,355,1195.79
"77dfc01f-a8d6-457b-8614-9c4f4d46e0d2",16,791,-6619.13
"64159af6-c3b5-4cd8-8949-94ead1aff5b4",99,1045,640.64
"b30ed5ca-c9bb-4b1e-aed4-1dca988e33ea",62,839,6119.95
"393afdca-f369-4ae4-81d5-fbf30b5fc857",62,779,3819.59
"84141502-d8b0-4eb7-92bd-6ffbdf2c2d13",43,627,-4534.02
"8ec46afd-8b83-4ebc-b92e-f0beb173bd41",113,692,-8443.37
"ef5f3a99-06bf-4f10-88a0-cce8b8e05ad5",88,773,-2387.36
"fe1f25ce-6a5e-41f1-a076-c8dc7fc6fd3c",27,126,-7698.92
"23d7b99e-c9be-4822-94fd-501947cab72f",103,458,7668.06
"492f5644-c6d2-4032-8ae6-fe7ee7de926e",29,1178,3914.35
"9b6059d5-25a5-49f9-a4af-62be47becbfe",100,866,-2447.68
"9430afcd-1216-47a0-8978-c929c75d95b9",109,1215,9880.74
"71ef43f8-2311-46a3-a1bf-424fa9acd097",15,1350,-8907.8
"0611ef66-f847-4f6e-a0fa-c466a6115267",9,488,-9475.63
"4d51e47f-3667-4989-95e0-1ffb866f3e56",110,1166,6190.24
"3c2613d5-35b6-4740-9e1a-315a59a946ee",75,497,2600.3
"7459a7e8-8152-4338-acb0-30df0c66a067",19,189,3543.48
"d74a0ecd-2f8f-4b66-842f-93b284bf8c08",108,1198,-3160.84
"77c82797-4e92-4ab5-ab9b-7db58706338c",9,800,-4675.16
"109eac4e-f0b8-451a-af29-14d659fb0951",70,1104,-4970.25
"c7c4e889-d94c-4963-89a9-8a1a6e434ee4",59,1236,1065.0
"2ae96b70-5c6c-4aa2-a8e7-44dca379cf2d",66,222,2394.53
"0a893cbf-7fe4-4b08-98e5-ce0bc690aafb",7,227,582.99
"6adf1633-3639-4a0b-83c0-2a55af990e6f",80,887,7880.08
"2b83b91b-9a26-4c00-97cf-76b5910ac95c",43,377,5351.43
"0629b767-30b1-4392-bafb-f6ba7c3e360e",90,180,-3200.65
"167aa8cc-9f90-45af-8ecf-83bdf91f4099",52,81,-2916.51
"e937df93-1fce-4013-ab12-7d825546efa4",12,119,6465.68
"e1fa34ef-9675-4a53-841d-98b3d00ba913",49,789,5032.97
"1f7a1dbd-0782-465f-b532-e613f226e26a",27,685,-8042.12
"6608cc7d-9a1b-47eb-a68f-cb7904843f3d",106,275,1872.14
"0360abc9-1d3e-44b2-b498-f054f1c819ff",83,1332,2660.91
"2d6fa7fd-f124-47d9-b19b-af7f37bae645",79,346,364.54
"d7633b0c-1e57-4a2c-b32d-5a2a8e2e5e1b",84,642,-9481.58
"03a05fb3-fd36-45d5-9a44-89c88da06ade",50,1251,-3877.49
"aa36816e-d7d4-4bbe-89c4-6493641327a7",68,1157,-3877.56
"9079fc1f-520c-4146-9292-5591f175451f",112,483,-4128.06
"7d5d7f81-fc18-4f1f-aae1-9ab598b66023",24,917,7483.3
"00d4b4a6-7fe2-4c98-a47c-3a2aade9b28d",108,1089,4055.91
"ab62f87f-c06e-4ce1-974b-1ee1fb4b5d38",78,100,9464.22
"1bfc2811-e907-4fb3-8324-60bef8c69660",32,800,2359.3
"01eebc15-dc3c-4126-b3c5-fbd83932058c",32,619,7243.23
"91ddfb59-524b-4ebc-8454-5e2a7ce0691f",79,849,-130.54
"4bd03dee-a427-45e1-8233-39133415caad",58,500,-5640.84
"29ecc194-e6dc-49e6-bd52-a4c8365029a0",55,1297,-110.3
"42a5deea-bf9d-47f8-9508-76fd9e327807",33,1225,-4728.65
"330cdb78-f226-4b55-9380-c0f9c537b3ad",88,1130,-3682.1
